Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
245663.369,688.57,2.301094907,3,711.6,5.13,6.85,91.73,5.44,90.46,1.76,2.42,4.67,6.83,0,4,1,2,17,178439.7421,0
111564.0417,550.7,1.554924069,4,382.35,12.08,6.22,12.73,7.55,88.78,1.92,1.29,6.69,8.14,0,4,0,1,17,21940.25647,0
141189.5276,786.87,2.454318913,2,866.61,43.0,4.3,52.62,6.05,93.8,1.56,4.73,7.56,7.89,1,4,1,1,12,64558.8037,0
294640.9241,1834.29,2.124128197,4,436.26,16.0,8.48,18.69,15.82,99.9,1.77,7.53,0.93,5.74,0,3,1,2,48,472926.1053,1
202422.2535,570.34,1.552026089,2,436.75,51.91,4.08,48.41,22.34,95.22,2.01,4.6,10.0,6.58,0,4,0,1,2,138662.5684,0
168709.8999,917.46,1.0,3,89.01,18.46,7.21,19.77,1.73,81.92,2.17,4.4,7.28,9.78,0,3,0,1,17,127139.3953,0
299416.7236,807.07,2.560779072,2,445.1,0.3,5.34,59.04,30.26,86.31,0.97,1.89,7.65,6.56,0,2,0,1,14,300135.8299,1
414459.5702,1998.75,1.730038775,4,783.16,49.96,9.87,17.16,12.23,95.53,0.73,6.36,4.75,5.3,0,4,0,1,12,341506.1039,1
538568.7553,2054.95,2.152937118,3,734.76,55.79,8.08,64.74,3.06,93.78,1.25,10.0,3.94,5.96,0,0,1,1,25,594943.5152,1
346591.1288,2187.19,2.069735566,1,222.5,17.14,8.39,49.71,5.11,94.0,1.38,5.92,7.69,4.8,0,1,0,1,14,269822.1989,1
356015.9725,550.0,3.548156031,4,304.92,58.32,6.9,10.43,21.46,97.14,0.85,4.39,1.92,4.4,1,1,1,2,31,453043.1062,1
190004.3082,758.94,3.799243774,2,313.79,4.43,6.57,69.07,11.41,93.37,1.29,4.25,5.07,7.38,0,4,1,2,12,256044.3747,0
348826.7801,1254.64,3.814208481,2,483.97,10.07,6.85,22.78,16.21,94.79,1.08,8.67,9.37,7.92,0,3,1,1,4,349963.7862,1
369719.7828,836.53,1.347585348,4,668.59,27.08,10.0,39.0,9.35,96.55,1.33,5.47,9.04,6.64,0,0,0,1,7,297374.3092,1
208666.9791,550.0,1.493725966,4,433.47,17.92,6.53,94.64,44.69,88.11,1.51,4.16,1.35,6.83,0,2,0,1,14,134021.7726,0
194645.6957,550.0,1.18557398,2,459.12,31.68,6.91,43.19,34.65,94.78,2.75,0.89,2.05,5.16,0,2,0,1,9,230712.9661,0
180984.9615,809.47,2.933912434,2,549.16,44.95,6.04,44.15,11.02,99.9,0.94,6.87,6.15,4.51,0,1,1,1,7,196166.039,0
252928.8126,1139.91,3.215113326,3,273.39,43.69,2.73,65.98,27.89,80.31,1.72,0.98,1.04,4.41,0,4,0,1,13,311878.143,1
596493.3763,1523.73,4.419368764,3,503.4,1.99,6.48,4.18,16.7,93.71,0.17,7.57,9.6,8.97,0,2,0,1,14,595937.3834,1
306626.4858,974.69,2.226455178,4,1009.17,47.28,7.31,13.49,5.82,95.35,1.48,7.57,10.0,10.0,1,3,0,1,23,308145.3169,1
299025.9899,550.0,2.116888707,1,359.12,22.54,1.98,115.36,40.01,89.71,1.67,1.03,10.0,7.56,0,2,1,2,24,277096.0413,1
360765.3965,1484.71,3.117119966,3,717.94,31.7,7.36,15.61,25.33,92.7,1.24,3.84,6.83,6.32,0,3,0,1,14,522584.6232,1
258216.0685,788.01,1.041511079,3,82.89,31.81,5.52,6.21,7.54,96.0,2.1,2.15,7.96,6.34,1,2,0,2,27,213574.6915,0
102435.3805,550.0,1.700438239,3,37.87,33.88,7.93,109.39,11.37,90.38,2.37,4.2,0.62,4.17,0,0,1,1,10,12496.9302,0
208805.3098,1496.1,1.0,2,759.92,4.99,6.26,104.36,11.38,99.0,1.01,5.92,10.0,9.62,0,3,0,1,3,223705.2143,0
215313.2562,1394.28,1.0,4,170.79,59.91,8.2,50.15,11.89,84.71,1.02,5.05,7.18,6.68,0,3,1,1,17,169855.6761,0
123104.0484,734.59,1.165419611,3,978.95,5.72,5.3,11.29,14.3,92.22,1.6,4.94,5.5,7.37,1,1,0,2,22,52901.91474,0
255530.6013,1964.4,1.0,2,929.31,46.62,5.14,84.11,4.72,88.14,1.16,5.17,1.32,4.98,1,3,0,1,19,221933.8457,0
127824.311,910.35,1.0,3,384.49,48.77,6.26,61.38,18.79,91.85,2.4,6.83,0.09,3.82,0,1,1,1,20,57057.96712,0
267017.7293,1037.16,2.351761951,3,418.67,76.57,4.66,67.21,14.09,92.05,1.61,2.47,2.55,1.77,0,3,0,1,17,242113.6459,1
498591.0251,787.09,3.950754937,3,828.23,12.78,10.0,1.65,6.05,99.9,1.44,5.46,7.61,9.31,0,4,1,1,17,353673.9992,0
335134.4955,667.46,3.118838607,3,631.97,28.73,9.58,78.37,39.9,94.27,2.11,3.15,4.87,2.75,0,1,1,1,11,236193.5447,1
425369.7452,1632.41,3.428773838,3,919.8,26.81,5.78,53.75,19.39,92.41,0.59,7.55,7.22,5.65,0,4,0,2,28,617016.0903,1
270706.3769,1199.7,3.375530651,3,535.35,26.76,6.4,47.53,7.41,87.63,0.97,4.96,8.72,6.58,1,1,1,1,7,352485.5714,1
153869.4399,918.52,1.0,1,914.78,19.65,3.53,67.74,30.11,94.24,1.5,2.81,0.15,6.17,1,4,1,1,21,57468.5458,0
257544.0629,576.07,3.135533378,2,450.58,17.39,5.66,82.85,4.34,91.56,0.72,4.68,4.54,7.14,0,4,1,1,15,197836.9608,0
283615.4031,1734.6,2.776515644,1,673.13,35.29,5.08,64.29,1.49,91.68,1.94,6.87,5.21,4.99,0,0,1,1,8,213044.327,1
255614.8992,566.62,1.0,4,779.42,20.56,5.62,39.46,10.08,97.29,1.84,4.93,4.44,4.55,1,0,0,1,13,181861.5423,0
396198.2381,1175.55,2.75956596,3,561.94,32.26,8.38,14.61,8.34,95.06,1.22,7.37,8.29,4.93,0,3,0,1,14,338023.8697,1
98837.63349,550.0,2.281020695,2,622.5,24.53,7.37,18.87,6.01,90.75,1.88,3.52,6.25,8.54,0,0,1,2,19,-70.78192244,0
300684.2367,1470.97,2.175998385,4,253.54,44.06,6.49,72.28,5.73,92.19,1.83,5.25,10.0,6.77,0,1,0,1,10,391043.9456,1
86238.83042,550.0,1.0,2,65.14,37.18,4.32,46.18,13.68,88.29,1.58,1.95,6.22,7.92,1,3,0,1,12,3265.228971,0
363913.0036,982.41,3.02268155,3,798.74,12.13,7.52,61.02,4.05,91.9,1.55,3.69,9.04,8.32,0,3,0,1,8,384391.8427,1
322391.3847,1189.42,2.15205365,3,594.28,8.05,6.74,73.86,10.56,99.04,2.58,7.45,10.0,5.29,1,4,1,3,40,241609.3476,1
116897.0428,1010.89,2.002415883,1,581.64,44.39,3.61,11.69,14.44,90.98,1.86,3.08,2.38,3.07,1,2,0,1,18,16130.50967,0
262084.584,818.79,1.0,5,897.01,7.0,9.72,67.91,29.5,99.9,1.35,8.61,4.37,7.67,1,1,0,1,8,272647.8402,0
162099.2676,550.0,1.771851553,3,1039.36,0.52,8.29,8.14,7.87,96.92,1.87,5.69,8.28,5.35,1,2,0,1,18,69320.97968,0
281770.5456,550.0,2.861917149,3,460.46,24.03,5.25,80.76,7.39,90.1,1.59,4.79,8.51,4.07,0,2,1,1,8,228963.9573,1
443988.6118,1016.27,4.198771961,2,401.64,39.96,9.31,20.9,31.14,92.1,1.92,7.19,6.57,7.9,0,0,0,1,14,430095.2019,1
98659.48993,736.17,1.0,3,962.13,28.98,5.79,33.47,17.49,92.53,1.66,2.49,5.02,4.69,1,3,0,1,10,16039.20848,0
217206.4322,830.78,4.100380135,3,371.62,39.53,6.18,45.32,18.53,95.88,0.72,3.68,7.87,8.12,1,1,0,1,18,299424.7084,0
359000.7922,1658.33,2.462958417,3,176.79,48.87,7.24,5.72,2.83,89.49,0.95,4.78,0.42,2.5,1,0,1,1,17,363457.6606,1
317209.8854,995.87,2.736233087,3,108.22,39.62,7.04,7.32,24.54,94.75,1.69,3.61,9.96,7.48,0,0,0,1,17,206307.3224,1
506532.904,1431.12,1.436839133,4,579.17,15.22,10.0,27.48,8.22,86.57,0.62,5.34,8.63,5.11,0,2,1,1,15,386058.659,1
330746.0957,1681.2,2.360848428,3,265.16,30.33,9.04,29.81,30.38,89.04,1.38,5.12,9.44,5.27,0,3,1,1,17,310854.2427,1
485149.4351,2393.06,3.673648726,4,402.17,48.55,8.01,48.25,23.63,92.1,0.59,8.06,9.14,8.71,1,1,1,2,21,773039.6452,1
242858.6649,660.69,1.997577782,3,735.01,42.55,10.0,82.2,12.11,89.22,2.26,7.05,5.76,4.89,0,3,0,2,53,126115.8582,1
105902.3322,550.0,1.0,3,251.84,50.61,6.16,60.57,9.75,92.34,1.78,3.6,6.87,9.23,0,3,0,1,5,27035.13747,0
355192.0153,1615.16,1.0,4,906.21,35.01,10.0,51.01,7.22,95.46,1.96,4.41,10.0,7.01,0,2,0,1,14,315862.6185,1
247865.2916,550.0,1.313417098,1,542.42,20.15,3.0,64.23,10.99,99.46,1.62,0.33,5.13,5.62,0,0,0,1,14,196930.2725,1
456675.9896,1187.94,1.100998953,5,648.2,2.47,8.64,23.57,4.17,97.08,1.27,4.45,6.81,2.77,0,4,0,1,17,360786.3084,1
247871.7929,550.0,1.849126668,3,136.51,49.92,3.83,1.5,26.72,94.0,1.69,6.79,10.0,10.0,0,1,0,1,12,287097.3558,0
133338.4679,672.57,1.378387382,4,128.28,22.59,9.14,76.08,32.85,89.02,1.55,1.86,4.78,5.07,0,2,1,1,20,64800.0776,0
184261.1924,755.85,1.933425922,2,470.39,50.19,2.9,4.15,38.3,94.38,2.98,3.34,4.87,5.6,0,0,0,1,10,94538.71523,0
313470.0031,826.67,1.0,4,670.5,12.81,8.7,25.97,15.34,95.31,0.96,6.16,8.95,4.66,0,3,0,1,23,225821.0059,1
542916.9681,957.1,2.203076038,6,803.31,44.63,8.06,76.78,27.19,91.18,1.73,4.92,3.62,6.08,0,4,1,1,-1,435892.6581,1
120929.0389,857.01,1.0,2,532.4,43.97,4.22,74.25,21.83,82.72,2.36,2.89,8.19,6.36,0,4,0,1,22,29477.65103,0
499032.2694,550.0,2.538636446,4,397.37,29.46,6.76,14.24,11.72,93.85,1.38,5.39,7.1,6.05,1,1,1,1,11,379607.2239,1
550696.1107,1414.69,3.493732912,2,828.03,35.25,4.18,40.62,2.14,94.52,1.01,4.79,4.52,6.65,1,2,1,1,16,378509.0866,1
723129.0195,1258.04,4.055110876,4,590.21,40.66,7.59,17.65,30.54,88.71,1.21,7.56,6.64,7.62,0,4,1,1,19,620069.5958,1
208322.3964,550.0,2.518274005,2,311.23,32.54,4.48,95.99,18.29,90.21,1.36,3.31,3.63,5.87,0,4,0,1,13,176421.9074,0
363575.0038,797.3,2.861444856,3,797.95,42.4,8.09,15.14,13.61,92.87,1.48,6.14,10.0,5.42,1,2,1,1,16,390607.6226,1
454502.9972,922.04,1.30952769,4,252.12,20.59,9.72,60.1,1.09,92.54,1.2,5.83,5.29,7.56,0,0,0,1,4,453515.6437,1
631525.8582,1787.52,3.813669518,3,446.99,39.2,9.11,75.0,11.41,90.5,1.4,6.95,5.77,3.01,0,2,0,1,16,567907.53,1
248951.658,767.36,1.0,4,546.27,20.76,8.83,14.49,0.86,86.1,1.71,6.18,9.38,9.85,1,2,0,1,10,174388.173,0
112495.9077,562.94,1.0,3,494.66,64.36,4.9,99.9,27.81,96.4,1.13,3.94,7.33,3.55,1,0,0,2,13,11182.88146,0
401205.3247,1418.41,1.892099638,3,883.36,35.01,4.56,35.32,20.71,91.19,1.28,0.38,0.97,5.9,1,0,0,1,17,302318.3693,1
295696.8424,982.14,3.445949333,5,719.34,29.47,9.53,55.67,4.06,98.37,0.58,6.22,4.51,3.83,1,4,0,1,26,533245.7382,1
245087.8371,1010.8,1.647701768,2,489.74,5.04,5.97,69.94,18.03,90.33,1.9,5.6,2.8,6.93,1,3,0,1,9,202999.5634,0
232974.9339,1615.82,1.0,2,513.8,9.94,5.55,55.17,10.58,93.8,2.11,3.01,3.34,0.67,0,0,0,1,18,157311.2208,0
395615.6045,1032.15,2.526880827,3,645.53,64.88,2.31,9.14,36.42,89.81,2.05,6.06,10.0,4.8,1,2,0,1,10,296477.3664,1
559609.2095,1214.53,3.208856043,2,1114.58,37.46,8.47,76.84,16.63,99.36,1.15,8.38,6.52,7.43,0,4,0,1,17,430089.4976,1
189257.8577,717.52,1.0,3,706.84,3.49,0.26,30.85,6.98,84.54,2.15,1.9,5.78,3.85,0,0,0,1,16,169868.8019,0
311591.5511,1168.93,3.352902047,4,143.66,24.84,10.0,39.15,7.6,91.26,1.43,5.17,7.37,6.97,0,4,1,1,17,392481.5865,1
633005.2522,636.25,3.620703764,5,571.31,30.16,4.86,60.34,12.56,87.79,1.67,8.01,7.26,2.41,0,0,1,1,11,584450.9103,1
123788.0536,923.3,1.355055116,2,801.72,30.9,3.13,52.67,48.28,93.07,2.1,1.89,9.27,8.97,0,3,0,1,18,50019.53139,0
178337.6542,1312.45,1.133917508,2,254.48,74.74,5.62,52.27,33.63,86.17,2.38,4.56,5.98,6.43,0,0,0,1,18,118721.3214,0
184064.8596,550.0,1.588792207,5,15.09,2.77,8.07,54.53,48.62,97.83,1.34,4.06,5.45,7.59,0,0,0,1,7,218811.8383,0
307620.8079,1203.62,2.144839643,2,407.94,90.61,7.49,23.8,10.75,96.42,1.84,5.85,2.81,5.0,1,0,1,1,8,195967.5497,1
220797.4023,1541.15,3.570193413,1,289.74,11.97,4.48,24.29,22.73,88.49,1.37,4.85,2.15,2.33,0,3,1,2,21,265568.057,0
221530.8266,1014.76,1.335578837,1,594.49,32.66,8.91,26.06,21.16,89.17,1.73,4.14,5.53,5.62,1,4,0,1,17,166985.3009,0
257001.1014,1333.9,2.664107348,4,978.39,47.77,6.25,55.63,0.8,93.36,1.93,6.27,4.64,5.11,0,0,0,1,10,334283.3214,0
387216.5626,675.02,3.543320984,4,218.21,53.63,10.0,8.42,0.51,98.41,0.47,5.87,9.82,7.4,1,4,0,1,16,319655.0349,1
283605.4848,1076.92,1.0,2,2.04,28.23,3.84,82.35,8.37,95.4,1.68,5.44,7.91,7.32,0,1,0,1,13,154221.0775,1
151152.5158,550.0,1.493029111,3,453.89,30.11,6.2,4.68,15.11,95.92,0.9,6.52,2.05,5.2,0,3,0,1,19,53751.98863,0
521223.2561,1747.75,2.076796876,4,651.49,20.41,8.18,8.88,7.77,89.16,1.28,5.14,10.0,8.22,0,3,1,1,6,463228.4463,1
265806.8971,1264.32,1.802101025,3,643.59,37.79,8.89,66.05,14.82,90.25,1.5,4.06,6.21,4.54,0,1,0,1,4,247803.9038,0
129436.3972,854.32,1.0,3,87.62,18.81,4.98,122.77,27.28,92.06,1.79,2.35,3.63,7.06,1,3,0,2,45,18275.2928,0
254894.2626,966.69,1.256991893,4,583.37,33.42,6.26,19.26,16.82,97.61,1.41,4.99,1.96,3.79,0,4,0,1,8,244161.9048,0
193808.0636,782.26,1.832830974,2,743.27,47.18,5.6,82.07,9.38,86.64,0.98,1.91,8.73,3.66,0,1,0,1,21,103518.9781,1
142179.8808,550.0,1.0,2,1021.63,17.49,5.26,51.14,14.06,88.45,1.46,0.46,10.0,10.0,0,4,0,1,18,60428.82362,0
439149.8153,1381.41,3.93894395,3,333.15,39.74,8.13,22.7,0.36,88.82,1.16,6.26,10.0,10.0,0,2,1,1,6,647819.9562,1
166175.7552,550.0,3.827662068,2,566.81,17.82,4.89,54.37,6.93,84.49,1.23,4.43,2.21,5.83,0,0,0,2,23,170146.937,0
224349.0624,1258.66,1.0,3,1174.25,62.53,5.8,71.41,46.7,87.52,1.81,1.73,7.08,4.64,0,0,0,1,13,165949.221,0
206403.4237,871.35,1.720771544,3,251.26,24.27,8.05,18.33,21.29,87.48,1.92,3.65,3.03,3.96,0,1,0,1,10,222862.5135,0
398669.8832,1912.38,2.564632298,4,507.06,41.58,10.0,27.11,14.38,96.4,1.05,6.25,7.71,6.76,0,2,0,1,16,486523.6679,1
309291.2277,1249.1,2.179147945,2,63.7,43.08,4.39,69.21,23.92,98.73,1.66,2.97,4.67,4.67,0,3,0,1,16,188380.4821,1
562257.4662,2248.84,4.228159415,5,893.01,21.06,10.0,9.61,13.65,94.35,0.05,8.18,8.27,3.48,0,4,0,1,20,733629.5798,0
623993.8792,1625.16,3.028925352,4,583.95,42.91,9.48,39.49,14.75,97.18,0.93,8.96,6.05,3.68,0,0,0,1,15,556506.8283,1
383724.1186,1166.38,3.239547258,3,832.25,45.36,10.0,41.2,2.96,91.24,1.55,3.1,8.79,2.5,0,3,0,1,20,333860.0217,1
285174.082,843.91,2.784203609,4,782.47,34.3,8.36,68.35,9.36,97.72,0.65,5.99,6.24,8.84,1,4,1,1,5,491046.6816,1
389877.9007,1247.08,3.372249394,5,570.02,22.63,9.05,31.55,9.34,95.26,1.75,4.91,3.76,4.97,1,3,0,1,-4,500495.2123,1
429467.2941,1109.72,5.772859854,3,44.17,23.55,9.12,5.89,3.17,99.9,0.84,5.35,4.78,3.44,0,4,0,1,8,567715.4167,1
354322.8696,1771.08,3.791297874,2,554.14,38.15,7.69,46.36,17.95,96.33,1.24,7.5,4.93,2.23,0,3,1,1,8,420047.3933,1
740112.2268,2547.46,4.099522714,5,207.78,0.54,10.0,8.83,31.23,91.84,1.61,10.0,4.75,7.63,0,0,0,1,23,1296606.686,1
247148.1142,1073.95,3.209491202,3,663.46,36.18,7.35,59.85,15.17,94.52,1.07,6.17,7.08,6.2,0,3,0,1,5,330775.3341,0
463435.9881,1742.26,2.924457025,3,691.85,12.64,9.28,54.45,9.81,92.47,1.01,5.4,9.96,7.32,1,4,0,1,12,374789.3545,1
579828.7902,1197.95,1.477818763,4,424.29,2.54,7.63,39.78,0.78,88.94,0.88,4.82,7.44,7.0,0,4,1,1,30,466482.3,1
525813.4096,1115.24,5.154720781,2,852.38,20.23,7.93,29.12,16.19,99.25,1.24,9.01,6.06,4.44,0,4,1,1,11,366826.1634,1
450754.4439,1169.09,4.162430233,3,688.39,54.04,7.94,82.66,9.28,87.71,1.12,4.04,3.95,6.43,0,1,0,1,11,378119.5744,1
252869.9017,550.0,2.459170586,3,57.57,38.43,6.31,26.62,20.9,94.42,1.98,2.66,0.97,6.36,0,3,1,1,11,145654.911,0
323911.7643,550.0,3.46721705,3,230.72,38.85,4.41,14.7,12.5,90.94,1.6,3.39,8.71,8.0,0,3,0,2,29,399787.183,1
277316.3525,1276.24,3.271452228,3,359.12,32.61,8.48,42.96,14.37,98.61,1.48,6.12,9.39,7.61,0,3,1,1,9,280252.0625,0
115818.4461,981.93,1.0,2,606.82,44.51,7.24,59.57,30.89,98.1,2.08,3.84,1.58,3.3,0,0,0,1,0,51202.84371,0
205364.1847,873.82,1.216810195,3,273.01,23.6,5.85,0.51,2.14,85.93,2.07,6.3,4.97,6.74,0,4,1,1,20,148260.6115,0
223068.5627,1686.0,1.138793789,3,674.65,27.07,9.53,6.95,20.84,83.63,2.42,7.71,10.0,10.0,0,0,0,1,15,425683.0816,1
171317.9705,550.0,1.175114239,3,652.12,17.89,7.24,85.32,42.83,85.78,2.44,5.33,3.55,3.45,1,0,0,1,16,83060.39447,0
351210.4303,885.44,1.0,4,259.07,46.62,9.44,81.36,40.54,87.58,1.18,6.59,4.63,6.18,0,3,0,1,18,256246.1356,1
238735.4337,563.95,1.0,4,358.21,7.32,6.6,16.5,37.79,90.1,1.28,2.22,5.5,2.94,0,1,0,1,7,144867.1084,1
96713.65354,1245.47,1.036799305,1,521.89,14.01,5.19,8.89,14.08,98.63,2.27,3.13,4.93,5.36,0,4,0,1,5,10774.31914,0
270462.6923,1084.91,3.673612802,2,830.3,46.78,6.69,27.96,39.4,96.65,1.0,7.41,6.95,7.29,0,2,0,1,1,292518.7888,0
435944.4423,1406.46,2.738627832,3,169.89,11.27,5.56,36.12,5.13,95.96,1.54,3.69,1.79,4.13,0,2,0,1,13,323639.5546,1
407629.4936,785.82,1.296052258,5,601.04,29.56,6.59,41.15,20.99,93.84,0.78,4.15,4.61,5.63,0,0,1,1,17,513921.2367,1
682957.6831,1946.87,3.965719314,3,815.24,3.88,10.0,36.06,3.72,99.5,0.71,6.15,7.8,6.01,0,2,0,1,12,763628.0251,1
133702.1794,550.0,1.658917807,2,549.03,47.09,2.58,37.99,3.28,87.53,1.77,0.96,7.63,6.57,1,1,0,1,6,74887.40307,0
494888.9838,1420.14,2.188758698,3,715.21,19.59,8.32,39.42,7.53,88.62,0.84,5.33,10.0,8.8,1,0,1,1,14,319776.0327,1
481818.1188,613.54,3.565264748,4,15.13,43.29,9.24,1.94,16.07,94.64,0.96,6.63,8.66,6.77,0,4,0,1,-4,471236.8766,1
421588.8578,663.23,2.851278161,3,133.15,0.32,8.05,9.44,19.92,98.82,1.21,6.14,6.63,6.65,0,0,0,1,16,321990.6474,0
334113.5332,550.0,1.676497784,3,339.7,5.16,7.56,3.79,9.4,92.72,1.49,7.66,10.0,8.52,0,4,0,1,15,190443.9214,1
315102.2944,1309.65,2.013369338,3,707.09,6.07,9.38,21.14,6.97,99.47,2.08,9.34,1.09,4.76,0,1,0,1,16,393837.673,1
271635.8595,823.98,3.689285068,3,1300.08,28.98,7.03,18.82,23.71,99.9,1.58,5.2,9.18,7.88,0,1,0,2,27,206892.3065,1
269500.4758,550.0,3.318284837,4,720.95,35.34,10.0,45.91,10.92,99.9,1.15,8.28,6.1,6.06,0,4,0,1,9,286119.1079,0
228840.023,1116.57,1.0,3,378.34,65.58,6.3,34.19,25.33,94.32,0.67,1.76,4.11,1.52,0,3,1,1,21,131213.4331,0
503702.0815,1417.73,1.981079648,4,1065.12,8.17,9.53,34.59,9.83,99.9,0.61,7.37,6.22,7.23,1,2,0,1,15,575272.0985,1
206191.2904,1966.16,1.135847742,1,372.11,59.57,4.56,3.39,14.23,90.48,1.85,2.8,9.74,5.56,0,3,1,1,25,325761.3146,0
121786.8176,930.28,1.0,2,2.75,8.77,4.54,90.78,45.94,95.6,1.64,0.4,2.1,4.52,0,0,0,1,15,64905.60061,0
548590.0138,708.08,3.530110112,4,137.97,43.05,6.8,18.24,4.28,86.32,1.38,7.62,7.56,6.41,0,4,1,1,10,447525.0981,1
223898.8248,607.97,1.335726763,3,1038.68,5.38,7.19,15.06,1.98,95.96,1.62,5.7,5.23,5.06,1,3,1,1,10,263677.9399,0
318018.4118,1029.83,1.623794737,4,393.99,49.11,7.09,46.67,17.87,92.3,1.18,3.85,6.94,7.21,1,4,0,1,8,478800.6474,1
461667.4612,1041.61,3.544439984,5,452.98,38.52,7.85,33.98,2.68,89.56,1.42,6.2,9.8,7.35,0,4,0,1,4,393464.2375,0
466709.337,831.53,2.096109951,3,673.58,13.15,9.23,43.92,8.18,92.31,1.17,4.2,6.92,6.58,1,1,0,2,20,270215.3455,1
137573.1292,572.53,2.205455153,1,438.32,2.33,7.45,53.49,28.26,87.94,1.65,4.89,2.37,3.03,0,3,1,2,6,72415.13265,0
374382.3752,1059.86,1.0,3,702.92,23.53,9.08,95.11,15.28,95.77,1.27,4.99,6.18,2.86,1,0,1,2,22,234023.3346,0
114263.3668,550.0,1.325389182,3,756.47,28.51,4.76,53.61,16.83,91.88,2.58,2.04,2.89,6.2,0,0,0,1,12,37237.00617,0
190448.0922,550.0,1.0,5,493.72,27.39,6.53,50.55,26.47,96.11,1.86,6.7,9.68,6.82,0,3,0,1,10,144219.0861,0
151921.942,1294.53,2.507633065,1,675.07,49.3,4.21,52.53,25.0,99.9,1.61,2.77,7.23,3.83,0,0,0,1,7,111682.031,0
371156.6215,1331.5,4.459162352,2,355.76,41.94,6.32,0.47,15.92,91.76,1.82,7.18,3.39,6.07,0,2,1,2,43,421953.5409,1
233490.1751,634.09,3.096000186,3,939.24,14.49,7.09,61.1,14.91,94.69,0.61,4.62,8.7,7.37,0,1,0,1,14,331136.5415,0
203869.5816,1772.95,1.611908055,2,672.62,69.11,4.11,45.39,34.94,91.68,2.05,4.11,9.37,6.36,1,2,0,2,25,269083.2727,0
154546.2588,792.58,1.521414764,2,669.85,42.24,5.78,9.86,17.6,88.17,2.23,5.13,5.93,4.31,1,4,1,2,18,93253.43898,0
391146.0655,729.48,3.326289407,4,1005.7,72.4,7.52,62.93,29.48,95.66,1.14,5.05,10.0,10.0,1,1,0,1,7,301379.2197,1
225900.6467,1653.37,1.376958171,3,887.74,15.4,10.0,79.82,17.81,99.9,1.81,7.06,1.41,5.95,0,3,0,2,45,218539.0447,0
312812.2156,550.0,1.716871268,2,517.5,7.45,2.88,55.19,34.38,88.01,1.46,0.74,5.56,6.05,0,0,1,1,15,266676.9403,1
235726.9397,550.0,1.900538373,3,93.26,7.27,5.83,3.29,6.35,99.9,1.25,3.37,7.12,8.19,1,0,1,1,10,242795.8395,0
280106.8147,1434.14,1.0,2,302.18,38.27,5.47,9.21,23.57,90.99,1.39,4.96,6.16,6.58,0,4,0,1,11,249233.6021,1
371840.909,1554.09,3.323637571,4,120.13,23.59,7.46,25.24,5.5,93.81,1.37,7.79,5.45,5.51,0,1,1,1,9,651669.2054,1
513316.0016,1677.82,1.852306618,3,510.87,27.46,10.0,42.24,13.27,98.55,1.07,7.04,3.57,10.0,0,3,1,1,9,556085.5164,1
386734.8426,1302.08,3.287337664,3,520.44,32.03,8.26,19.48,18.01,89.41,1.79,7.86,10.0,7.66,0,1,0,1,17,318276.4491,1
